purpose,count
Üksikelamu,7195
Muu kolme või enama korteriga elamu,2265
"Elamu, kooli vms abihoone",1619
Büroohoone,909
Garaaž,792
Kaubandushoone,466
"Suvila, aiamaja",457
"Muu transpordihoone, nagu näiteks tuletorn",413
Muu laohoone,295
Kahe korteriga elamu,252
Muu kaubandushoone,232
"Kohvik, baar või söökla",231
Ilu- ja isikuteenuste  hoone,206
Muu tööstushoone,199
Muu lühiajalise majutuse hoone,179
Ambulatoorse arstiabi osutamise hoone,158
Sõidukite teeninduse hoone,152
Muu teenindushoone,89
Ridaelamu,77
Ridaelamu või kaksikelamu sektsioon (juhul kui on oma katus ja sissepääs maapinnalt),64
"Koolieelne lasteasutus (lastesõim, -aed, päevakodu, lasteaed-algkool)",61
Muu erihoone,55
"Elamu, talu, kooli vms majapidamisabihoone, nagu näiteks kuur, individuaalgaraaž ja saun",54
Muu haridus- või teadushoone,53
Põhikooli või gümnaasiumi õppehoone,50
Muu toitlustushoone,45
Restoran,45
"Ülikooli, rakenduskõrgkooli õppehoone",43
"Katlamaja, boilerjaam",43
Muu tervishoiuhoone,39
Muu spordihoone,38
Energeetikatööstuse hoone,38
Toiduainetetööstuse hoone,34
Muu hulgiladu,33
"Kauplus, mis ei ole toidukauplus",33
"Hotell, motell, külalistemaja",30
"Ilu- ja isikuteenust osutava ettevõtte hoone, nagu näiteks juuksuritöökoda, solaarium ja saun",29
Kaevumaja,27
"Klubi, rahvamaja",26
"Kirik, katedraal, mošee, sünagoog, palvemaja või kabel",26
"Loomakasvatushoone, sealhulgas karuslooma- või linnukasvatus",25
"Haiglavälise arstiabi osutamise hoone (perearstikeskus, polikliinik, ambulatoorium)",25
"Spordihall, võimla",23
"Muuseum, kunstigalerii",22
Puidutööstuse hoone,21
Kiosk,17
Ühiselamu üliõpilastele või õpilastele,17
Veterinaarkliinik,16
Muu meelelahutushoone,15
Masina- ja seadmetööstuse hoone,14
Haigla,14
Toiduainete laohoone,14
"Teater, kino, kontserdi- ja universaalsaalide hoone",13
Ehitusmaterjalide ja -toodete tööstuse hoone,11
Muu büroo- või administratiivhoone,11
"Muu haridus- või teadushoone, nagu näiteks labor, õppetöökoda, ilmajaam ja observatoorium",11
Raamatukogu,11
Muu garaaž,11
"Muu sidehoone, nagu näiteks taksofoni kabiin",10
Allmaa- või pealmaagaraaž,10
"Muu põllu-, metsa-, jahi- või kalamajandushoone",10
Toiduainete hulgiladu,10
Muu kaubandushoone või kauplus,9
"Oksjoni-, turu- või näitusehall",9
Põllumajandusmasinate remonditöökoda või hoiukuur,9
"Tantsusaal, diskoteek, kasiino (kehtetu alates 27.05.2008)",9
Kasiino,9
Külmhoone või eriladu,9
Teadus- ja metoodikaasutuse hoone,9
Parkimismaja,9
Karistusasutuse hoone,8
"Muu meelelahutushoone, nagu näiteks loomaaia ja botaanikaaia hoone",8
Erihooldekodu,8
Apteek,8
Jäätmekäitluse hoone,7
Hostel,7
Toidukauplus,7
Arhiiv,6
Maneež,6
Veterinaarravila,6
"Vedelkütuse-, küttegaasi- jm terminali hoidlahoone",6
Teraviljakuivati,6
Kutseõppeasutuse õppehoone,5
"Muu garaaž, nagu näiteks jalgrattahoidla",5
Kergetööstuse hoone,5
"Tantsusaal, diskoteek, ööklubi",5
Päevakeskus,5
Loomasööda hoidla,5
Lastekodu,5
Kiirtoitlustushoone,4
Päästeteenistuse hoone,4
"Sanatoorium, spaa",4
Bensiinijaama hoone,4
"Raadio-, televisiooni saate- või võimenduskeskuse hoone",4
Pangahoone,4
Reoveepuhasti hoone,4
"Muu erihoone, nagu näiteks varjend",4
Toiduainetetööstuse laohoone,4
Ajalooline või kaitse all olev  hoone,4
Muu tööstuse laohoone,4
Muu tööstusharu tootmishoone,4
Veepuhastusjaama hoone,3
Mineraalväetiste või taimekaitsevahendite hoidla,3
Varjupaik,3
Sotsiaalse rehabilitatsiooni keskus,3
Põhikooli või gümnaasiumi õppehoonehoone,3
"Spordihall, võimla (puuduvad kohad pealtvaatajatele)",3
Hotell,3
Täiendus- või ümberõppeasutuse hoone,3
Muu terminalihoone,3
Tugikodu,3
Lasketiiru hoone,3
Lasketiir,2
"Kartuli-, köögivilja- või söödajuurviljahoidla",2
Koolkodu,2
Puhkemaja,2
Huvialakooli õppehoone,2
Üldhooldekodu,2
Sisekaitse- või kaitseväehoone,2
Sadamahoone,2
Jäähall,2
Krematoorium,2
Telekommunikatsioonivõrgu hoone,2
"Keemiline puhastus, pesumaja",1
Noortekodu,1
Külalistemaja,1
"Tantsusaal, diskoteek",1
Muuseum,1
Konverentsihoone,1
Siseujula,1
Raudteejaama hoone,1
Puhkeküla või puhkelaagri majutushoone,1
Bussijaama hoone,1
"Haigla (üld-, eri- või ülkooli juures asuv haigla)",1
Raudteejaam,1
"Spordihall, võimla (kohtadega pealtvaatajatele)",1
"Puuvilja-, marja- või teraviljahoidla",1
"Sanatooriumi majutushoone, pansionaat, mis ei kuulu haiglate ja muude ravihoonete gruppi",1
Ühiselamu teistele sotsiaalsetele gruppidele,1
