etak_id,lat,lon,total_roof_area,district,ehr_code,address_id,address,name,type,year,total_area,floors,energy_label,residential,assembly,business,educational,industrial,institutional,mercantile,storage,other
728449,58.35453891595716,26.727599614908748,34.22,Ropka,nan,ME03036628,"Vasara tänav 10, Tartu linn",,,,,,,,,,,,,,,
737756,58.35779009387903,26.79065941157303,204.24,Ihaste,121263458.0,EE03737345,"Endel Kõksi tänav 11, Tartu linn",Üksikelamu,üksikelamu,2020.0,225.6,2.0,,0.75177304964539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710836,58.367783548031554,26.7299515890054,32.82,Karlova,nan,ME03043421,"Tähe tänav 50a/3, Tartu linn",,,,,,,,,,,,,,,
727745,58.345646130272,26.787944145592885,147.19,Ihaste,104019203.0,EE00752942,"Kesakanni tänav 56, Tartu linn",Üksikelamu,üksikelamu,1977.0,131.2,2.0,,0.940548780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736779,58.34673850333007,26.77315382548119,245.18,Ihaste,120282644.0,EE00994444,"Hipodroomi tänav 3c, Tartu linn",Üksikelamu,üksikelamu,2009.0,182.9,1.0,,0.8419901585565883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721578,58.36993840941204,26.69448113463876,221.16,Veeriku,104043333.0,EE00775236,"Kullerkupu tänav 5, Tartu linn",Üksikelamu,üksikelamu,1958.0,168.7,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726913,58.348017036473614,26.777320409301712,139.86,Ihaste,120678909.0,EE03245349,"Lõkketule tänav 14, Tartu linn",Aiamaja,"suvila, aiamaja",1988.0,80.5,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716266,58.37294473192879,26.69071293730397,120.8,Veeriku,104041106.0,EE00773178,"Sangla tänav 27, Tartu linn",Üksikelamu,üksikelamu,1977.0,200.5,2.0,,0.7296758104738155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715644,58.3877847233536,26.707097389276555,57.36,Supilinna,nan,ME03027738,"Piiri tänav 6, Tartu linn",,,,,,,,,,,,,,,
710384,58.39044103836787,26.71859370029379,127.4,Ülejõe,104042047.0,EE00774037,"Ujula tänav 76, Tartu linn",Elamu ja arstiabi osutamise hoone,üksikelamu,1977.0,190.9,2.0,,0.8716605552645365,0.0,0.1283394447354635,0.0,0.0,0.0,0.0,0.0,0.0
