etak_id,annual_kwh/pv_m2,y-y_variation/pv_m2,monthly_average_kwh/pv_m2,pv_suitable_area,Jan_kwh/pv_m2,Feb_kwh/pv_m2,Mar_kwh/pv_m2,Apr_kwh/pv_m2,May_kwh/pv_m2,Jun_kwh/pv_m2,Jul_kwh/pv_m2,Aug_kwh/pv_m2,Sep_kwh/pv_m2,Oct_kwh/pv_m2,Nov_kwh/pv_m2,Dec_kwh/pv_m2
333302,140.88,6.74,11.74,51.83015510966968,2.2,5.8,11.98,16.69,21.99,21.54,21.17,17.55,12.26,6.36,2.07,1.27
333303,135.15,5.7,11.26,107.08584085391064,1.48,4.59,10.55,16.65,21.8,21.94,21.55,17.44,11.34,5.43,1.61,0.78
333305,141.55,5.88,11.8,25.433076582402283,1.61,4.83,11.27,17.03,23.04,23.03,22.53,18.1,11.89,5.69,1.68,0.85
333307,160.01,8.49,13.33,49.28997118465716,3.22,7.93,14.43,19.48,23.41,22.3,22.39,19.54,14.46,8.01,2.89,1.95
333308,138.89,5.68,11.57,37.82455308255376,1.51,4.62,10.97,16.69,22.74,22.76,22.25,17.81,11.63,5.52,1.61,0.79
336254,164.1,8.74,13.67,70.4460799178013,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
336256,164.1,8.74,13.67,57.34611217996579,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
336464,129.08,5.36,10.76,47.30677901109139,1.32,4.23,9.91,15.93,20.93,21.23,20.75,16.74,10.78,5.08,1.49,0.69
336466,134.40875,5.4350000000000005,11.20125,537.6958651714299,1.34125,4.3025,10.295,16.5275,21.9375,22.25125,21.75875,17.4325,11.1425,5.22375,1.51,0.68625
336467,152.88666666666666,7.993333333333333,12.736666666666666,109.86206204870668,3.033333333333333,7.406666666666666,13.746666666666664,18.19666666666667,22.709999999999997,21.72,21.636666666666667,18.616666666666667,13.716666666666669,7.573333333333333,2.686666666666667,1.8333333333333333
336468,150.67,7.0633333333333335,12.556666666666667,89.39490860063971,2.3066666666666666,6.18,12.716666666666667,18.099999999999998,23.473333333333333,23.006666666666664,22.72666666666667,18.846666666666668,13.056666666666667,6.73,2.1999999999999997,1.32
336618,153.25,7.6,12.77,131.0793263762457,2.61,6.78,13.16,18.77,23.25,22.56,22.46,19.07,13.49,7.13,2.44,1.54
336619,130.51,5.49,10.88,47.96724061365775,1.38,4.36,10.09,16.1,21.09,21.34,20.87,16.88,10.94,5.19,1.53,0.72
336620,164.1,8.74,13.67,53.879502277711886,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
336621,158.29666666666665,8.196666666666667,13.19,48.725602619132985,3.0233333333333334,7.566666666666667,14.049999999999999,19.246666666666666,23.48,22.506666666666664,22.52,19.43,14.173333333333332,7.739999999999999,2.7433333333333336,1.8133333333333332
336622,159.985,8.325,13.33,50.02243902711467,3.105,7.735,14.29,19.395,23.65,22.63,22.66,19.585,14.365,7.89,2.8049999999999997,1.865
337218,148.14,7.655,12.34,179.5787423765387,2.775,6.945,13.2,17.67,22.215,21.354999999999997,21.215,18.14,13.24,7.22,2.505,1.655
337220,144.64,6.65,12.05,134.0404869759547,2.11,5.7,12.12,17.24,22.78,22.45,22.05,18.14,12.49,6.35,2.03,1.19
