value_kwh,filename,etak_id,address_id,month,year
3097.130000000001,data_electricity_EE00750779_720592_311680865_2020-01-01_2020-12-31.csv,720592,EE00750779,3,2020
87.0,data_electricity_EE00750779_720592_311680865_2020-01-01_2020-12-31.csv,720592,EE00750779,5,2020
1480.6,data_electricity_EE00750779_720592_311680865_2020-01-01_2020-12-31.csv,720592,EE00750779,7,2020
1480.6,data_electricity_EE00750779_720592_311680865_2020-01-01_2020-12-31.csv,720592,EE00750779,8,2020
2529.7,data_electricity_EE00750779_720592_311680865_2020-01-01_2020-12-31.csv,720592,EE00750779,9,2020
2783.8,data_electricity_EE00750779_720592_311680865_2021-01-01_2021-12-31.csv,720592,EE00750779,2,2021
4082.1,data_electricity_EE00750779_720592_311680865_2021-01-01_2021-12-31.csv,720592,EE00750779,4,2021
2477.4,data_electricity_EE00750779_720592_311680865_2021-01-01_2021-12-31.csv,720592,EE00750779,6,2021
2229.2,data_electricity_EE00750779_720592_311680865_2021-01-01_2021-12-31.csv,720592,EE00750779,7,2021
2929.4,data_electricity_EE00750779_720592_311680865_2021-01-01_2021-12-31.csv,720592,EE00750779,8,2021
2938.96,data_electricity_EE00750779_720592_311680865_2022-01-01_2022-12-31.csv,720592,EE00750779,7,2022
2873.07,data_electricity_EE00750779_720592_311680865_2022-01-01_2022-12-31.csv,720592,EE00750779,8,2022
3201.31,data_electricity_EE00750779_720592_311680865_2022-01-01_2022-12-31.csv,720592,EE00750779,9,2022
3406.24,data_electricity_EE00750779_720592_311680865_2022-01-01_2022-12-31.csv,720592,EE00750779,10,2022
3308.76,data_electricity_EE00750779_720592_311680865_2022-01-01_2022-12-31.csv,720592,EE00750779,11,2022
3520.4,data_electricity_EE00750779_720592_311680865_2022-01-01_2022-12-31.csv,720592,EE00750779,12,2022
3038.8099999999995,data_electricity_EE00750812_720239_311680858_2020-01-01_2020-12-31.csv,720239,EE00750812,3,2020
3656.729999999999,data_electricity_EE00750812_720239_311680858_2020-01-01_2020-12-31.csv,720239,EE00750812,5,2020
1935.87,data_electricity_EE00750812_720239_311680858_2020-01-01_2020-12-31.csv,720239,EE00750812,6,2020
2826.8,data_electricity_EE00750812_720239_311680858_2020-01-01_2020-12-31.csv,720239,EE00750812,7,2020
2820.7,data_electricity_EE00750812_720239_311680858_2020-01-01_2020-12-31.csv,720239,EE00750812,8,2020
3014.9,data_electricity_EE00750812_720239_311680858_2020-01-01_2020-12-31.csv,720239,EE00750812,9,2020
3332.0,data_electricity_EE00750812_720239_311680858_2020-01-01_2020-12-31.csv,720239,EE00750812,10,2020
3538.2,data_electricity_EE00750812_720239_311680858_2020-01-01_2020-12-31.csv,720239,EE00750812,11,2020
3780.4,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,1,2021
3361.8,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,2,2021
3653.0,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,3,2021
3355.5,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,4,2021
3215.5,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,5,2021
2781.1,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,6,2021
3140.2,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,7,2021
2914.64,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,8,2021
3204.94,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,10,2021
3382.59,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,11,2021
3359.71,data_electricity_EE00750812_720239_311680858_2021-01-01_2021-12-31.csv,720239,EE00750812,12,2021
3276.9,data_electricity_EE00750812_720239_311680858_2022-01-01_2022-12-31.csv,720239,EE00750812,1,2022
