time,source,device_name,fragment.series,value,unit
2021-01-01T00:00:05.000Z,264487896,SE_Riia25,dal.series,434.96,MWh
2021-01-01T01:00:05.000Z,264487896,SE_Riia25,dal.series,435.06,MWh
2021-01-01T02:00:05.000Z,264487896,SE_Riia25,dal.series,435.15,MWh
2021-01-01T03:00:05.000Z,264487896,SE_Riia25,dal.series,435.24,MWh
2021-01-01T04:00:05.000Z,264487896,SE_Riia25,dal.series,435.32,MWh
2021-01-01T05:00:05.000Z,264487896,SE_Riia25,dal.series,435.44,MWh
2021-01-01T06:00:05.000Z,264487896,SE_Riia25,dal.series,435.57,MWh
2021-01-01T07:00:05.000Z,264487896,SE_Riia25,dal.series,435.7,MWh
2021-01-01T08:00:05.000Z,264487896,SE_Riia25,dal.series,435.82,MWh
2021-01-01T09:00:05.000Z,264487896,SE_Riia25,dal.series,435.94,MWh
2021-01-01T10:00:05.000Z,264487896,SE_Riia25,dal.series,436.06,MWh
2021-01-01T11:00:05.000Z,264487896,SE_Riia25,dal.series,436.18,MWh
2021-01-01T12:00:05.000Z,264487896,SE_Riia25,dal.series,436.3,MWh
2021-01-01T13:00:05.000Z,264487896,SE_Riia25,dal.series,436.42,MWh
2021-01-01T14:00:05.000Z,264487896,SE_Riia25,dal.series,436.55,MWh
2021-01-01T15:00:05.000Z,264487896,SE_Riia25,dal.series,436.61,MWh
2021-01-01T16:00:05.000Z,264487896,SE_Riia25,dal.series,436.69,MWh
2021-01-01T17:00:05.000Z,264487896,SE_Riia25,dal.series,436.78,MWh
2021-01-01T18:00:05.000Z,264487896,SE_Riia25,dal.series,436.86,MWh
2021-01-01T19:00:05.000Z,264487896,SE_Riia25,dal.series,436.95,MWh
2021-01-01T20:00:05.000Z,264487896,SE_Riia25,dal.series,437.04,MWh
2021-01-01T21:00:05.000Z,264487896,SE_Riia25,dal.series,437.14,MWh
2021-01-01T22:00:06.000Z,264487896,SE_Riia25,dal.series,437.24,MWh
2021-01-01T23:00:05.000Z,264487896,SE_Riia25,dal.series,437.33,MWh
2021-01-02T00:00:05.000Z,264487896,SE_Riia25,dal.series,437.43,MWh
2021-01-02T01:00:05.000Z,264487896,SE_Riia25,dal.series,437.52,MWh
2021-01-02T02:00:05.000Z,264487896,SE_Riia25,dal.series,437.62,MWh
2021-01-02T03:00:05.000Z,264487896,SE_Riia25,dal.series,437.72,MWh
2021-01-02T04:00:05.000Z,264487896,SE_Riia25,dal.series,437.81,MWh
2021-01-02T05:00:05.000Z,264487896,SE_Riia25,dal.series,437.91,MWh
2021-01-02T06:00:05.000Z,264487896,SE_Riia25,dal.series,438,MWh
2021-01-02T07:00:05.000Z,264487896,SE_Riia25,dal.series,438.09,MWh
2021-01-02T08:00:05.000Z,264487896,SE_Riia25,dal.series,438.19,MWh
2021-01-02T09:00:05.000Z,264487896,SE_Riia25,dal.series,438.28,MWh
2021-01-02T10:00:05.000Z,264487896,SE_Riia25,dal.series,438.38,MWh
2021-01-02T11:00:05.000Z,264487896,SE_Riia25,dal.series,438.47,MWh
2021-01-02T12:00:05.000Z,264487896,SE_Riia25,dal.series,438.57,MWh
2021-01-02T13:00:05.000Z,264487896,SE_Riia25,dal.series,438.67,MWh
2021-01-02T14:00:05.000Z,264487896,SE_Riia25,dal.series,438.77,MWh
2021-01-02T15:00:05.000Z,264487896,SE_Riia25,dal.series,438.87,MWh
2021-01-02T16:00:05.000Z,264487896,SE_Riia25,dal.series,438.96,MWh
2021-01-02T17:00:05.000Z,264487896,SE_Riia25,dal.series,439.06,MWh
2021-01-02T18:00:05.000Z,264487896,SE_Riia25,dal.series,439.16,MWh
2021-01-02T19:00:05.000Z,264487896,SE_Riia25,dal.series,439.25,MWh
2021-01-02T20:00:05.000Z,264487896,SE_Riia25,dal.series,439.35,MWh
2021-01-02T21:00:05.000Z,264487896,SE_Riia25,dal.series,439.45,MWh
2021-01-02T22:00:06.000Z,264487896,SE_Riia25,dal.series,439.54,MWh
2021-01-02T23:00:05.000Z,264487896,SE_Riia25,dal.series,439.63,MWh
2021-01-03T00:00:05.000Z,264487896,SE_Riia25,dal.series,439.73,MWh
2021-01-03T01:00:05.000Z,264487896,SE_Riia25,dal.series,439.82,MWh
2021-01-03T02:00:05.000Z,264487896,SE_Riia25,dal.series,439.92,MWh
2021-01-03T03:00:05.000Z,264487896,SE_Riia25,dal.series,440.02,MWh
2021-01-03T04:00:05.000Z,264487896,SE_Riia25,dal.series,440.11,MWh
2021-01-03T05:00:05.000Z,264487896,SE_Riia25,dal.series,440.21,MWh
2021-01-03T06:00:05.000Z,264487896,SE_Riia25,dal.series,440.31,MWh
2021-01-03T07:00:05.000Z,264487896,SE_Riia25,dal.series,440.41,MWh
2021-01-03T08:00:05.000Z,264487896,SE_Riia25,dal.series,440.5,MWh
2021-01-03T09:00:05.000Z,264487896,SE_Riia25,dal.series,440.6,MWh
2021-01-03T10:00:05.000Z,264487896,SE_Riia25,dal.series,440.7,MWh
2021-01-03T11:00:05.000Z,264487896,SE_Riia25,dal.series,440.79,MWh
2021-01-03T12:00:05.000Z,264487896,SE_Riia25,dal.series,440.9,MWh
2021-01-03T13:00:05.000Z,264487896,SE_Riia25,dal.series,440.99,MWh
2021-01-03T14:00:05.000Z,264487896,SE_Riia25,dal.series,441.09,MWh
2021-01-03T15:00:05.000Z,264487896,SE_Riia25,dal.series,441.19,MWh
2021-01-03T16:00:05.000Z,264487896,SE_Riia25,dal.series,441.29,MWh
2021-01-03T17:00:05.000Z,264487896,SE_Riia25,dal.series,441.38,MWh
2021-01-03T18:00:05.000Z,264487896,SE_Riia25,dal.series,441.48,MWh
2021-01-03T19:00:05.000Z,264487896,SE_Riia25,dal.series,441.58,MWh
2021-01-03T20:00:05.000Z,264487896,SE_Riia25,dal.series,441.68,MWh
2021-01-03T21:00:05.000Z,264487896,SE_Riia25,dal.series,441.77,MWh
2021-01-03T22:00:06.000Z,264487896,SE_Riia25,dal.series,441.87,MWh
2021-01-03T23:00:05.000Z,264487896,SE_Riia25,dal.series,441.97,MWh
2021-01-04T00:00:05.000Z,264487896,SE_Riia25,dal.series,442.07,MWh
2021-01-04T01:00:05.000Z,264487896,SE_Riia25,dal.series,442.16,MWh
2021-01-04T02:00:05.000Z,264487896,SE_Riia25,dal.series,442.26,MWh
2021-01-04T03:00:05.000Z,264487896,SE_Riia25,dal.series,442.35,MWh
2021-01-04T04:00:05.000Z,264487896,SE_Riia25,dal.series,442.45,MWh
2021-01-04T05:00:05.000Z,264487896,SE_Riia25,dal.series,442.58,MWh
2021-01-04T06:00:05.000Z,264487896,SE_Riia25,dal.series,442.71,MWh
2021-01-04T07:00:05.000Z,264487896,SE_Riia25,dal.series,442.84,MWh
2021-01-04T08:00:05.000Z,264487896,SE_Riia25,dal.series,442.97,MWh
2021-01-04T09:00:05.000Z,264487896,SE_Riia25,dal.series,443.1,MWh
2021-01-04T10:00:05.000Z,264487896,SE_Riia25,dal.series,443.22,MWh
2021-01-04T11:00:05.000Z,264487896,SE_Riia25,dal.series,443.35,MWh
2021-01-04T12:00:05.000Z,264487896,SE_Riia25,dal.series,443.48,MWh
2021-01-04T13:00:05.000Z,264487896,SE_Riia25,dal.series,443.6,MWh
2021-01-04T14:00:05.000Z,264487896,SE_Riia25,dal.series,443.73,MWh
2021-01-04T15:00:05.000Z,264487896,SE_Riia25,dal.series,443.81,MWh
2021-01-04T16:00:05.000Z,264487896,SE_Riia25,dal.series,443.9,MWh
2021-01-04T17:00:05.000Z,264487896,SE_Riia25,dal.series,443.99,MWh
2021-01-04T18:00:05.000Z,264487896,SE_Riia25,dal.series,444.09,MWh
2021-01-04T19:00:05.000Z,264487896,SE_Riia25,dal.series,444.19,MWh
2021-01-04T20:00:05.000Z,264487896,SE_Riia25,dal.series,444.28,MWh
