time,source,device_name,fragment.series,value,unit
2021-01-31T22:01:10.212Z,540121825,Maja sooja vee kuutarbimine,dal.series,37,m3
2021-02-28T22:10:03.198Z,540121825,Maja sooja vee kuutarbimine,dal.series,33.9,m3
2021-03-31T21:10:14.449Z,540121825,Maja sooja vee kuutarbimine,dal.series,39.7,m3
2021-04-30T21:10:16.952Z,540121825,Maja sooja vee kuutarbimine,dal.series,36.7,m3
2021-05-31T21:10:13.659Z,540121825,Maja sooja vee kuutarbimine,dal.series,36.2,m3
2021-06-30T21:10:55.398Z,540121825,Maja sooja vee kuutarbimine,dal.series,29.6,m3
2021-07-31T21:10:50.315Z,540121825,Maja sooja vee kuutarbimine,dal.series,27,m3
2021-08-31T21:10:29.965Z,540121825,Maja sooja vee kuutarbimine,dal.series,28.28,m3
2021-10-01T00:10:06.181Z,540121825,Maja sooja vee kuutarbimine,dal.series,33.54,m3
2021-11-01T01:10:11.369Z,540121825,Maja sooja vee kuutarbimine,dal.series,32.4,m3
2021-12-01T01:10:30.231Z,540121825,Maja sooja vee kuutarbimine,dal.series,34.54,m3
