etak_id,address,year,annual_kwh/pv_m2_r,y-y_variation/pv_m2,annual_kwh/pv_m2_e
719155,Tiigi 19,2022,169.25926871616795,7.65,155.265
716647,Tähe 2,2022,166.30308172313758,8.215,160.53
720043,Aleksandri 3,2022,158.0440504602796,6.46,147.65
715116,Turu 9,2022,160.6518092661481,6.12,143.95
713413,Turu 3,2022,149.78723404255322,8.74,164.1
720467,Pepleri 3,2022,142.088628403974,6.01,142.87
720239,Pepleri 12,2022,155.8007801129417,6.05,143.23
720448,J.Kuperjanovi 2,2022,149.6286348845617,7.16,154.67
719935,Lutsu 16,2022,107.95983549644818,7.02,153.45
720853,Tiigi 21,2022,144.84921472468804,6.11,143.41
720593,Tiigi 23,2022,159.07345679012343,6.11,143.41
721107,Aleksandri 12,2022,175.61808465649148,6.46,147.65
720592,Kalevi 8,2022,109.65940523535347,6.46,147.57
