
Winter 2022
etak_id,address,year,pv_area_m2_r,pv_area_m2_e,Dec_kwh/pv_m2_r,Dec_kwh/pv_m2_e,Jan_kwh/pv_m2_r,Jan_kwh/pv_m2_e,Feb_kwh/pv_m2_r,Feb_kwh/pv_m2_e
713413,Turu 3,2022,165.44,477.837,NaN,2.087322664423224,0.6008220502901003,3.5881691874007244,3.304581721470058,9.32460232254932
715116,Turu 9,2022,147.85,482.049,NaN,1.0450597345912966,0.6262428136624723,1.91418299799398,3.527291173486705,5.353107256731162
716647,Tähe 2,2022,182.69,461.862,NaN,1.9364009162910136,0.6365975149159939,3.292282110240721,3.9197547758497526,8.43539845235157
716801,Tiigi 8,2022,257.01,725.94,NaN,0.9285478138689148,NaN,1.746163594787448,NaN,5.257528170372206
719155,Tiigi 19,2022,195.82,453.978,NaN,1.3340954848032285,0.5265549994893299,2.3631321341562805,3.6295066898171955,6.398459837260836
719414,Pepleri 10,2022,169.67,732.321,NaN,1.0736412037890488,NaN,1.9654905430815173,NaN,5.416641063140344
719935,Lutsu 16,2022,187.23,427.428,NaN,0.7865886184339819,NaN,1.5757273739670774,NaN,5.169034316890798
720043,Aleksandri 3,2022,146.65,468.828,NaN,0.9429470936036244,0.47582679849982157,1.7459708037915824,3.016160927378109,5.189323163292295
720239,Pepleri 12,2022,171.77,727.407,NaN,1.0590357255291742,0.45642428829245024,1.94312125123899,NaN,5.371380808818172
720448,J.Kuperjanovi 2,2022,193.61,583.533,NaN,0.8027138139573939,0.3739476266721459,1.6058046417254892,2.8438613707969926,5.25384168504609
720467,Pepleri 3,2022,139.91,428.364,NaN,1.0596361972528037,0.3647344721607184,1.9444444444444449,2.811164319919932,5.365623628502863
720592,Kalevi 8,2022,168.47,555.345,NaN,0.9915097822074566,0.26811895292929455,1.8368041487723843,1.8931560515225185,5.35884900377243
720593,Tiigi 23,2022,162.0,433.629,NaN,1.079886262219547,0.5580864197530631,1.9758364869508265,3.239999999999984,5.418687403287141
720853,Tiigi 21,2022,161.09,423.891,NaN,1.081056214923176,0.6262958594574425,1.9767345850702185,2.76745918430694,5.413655869079551
721107,Aleksandri 12,2022,260.11,718.956,NaN,0.9338679974852424,0.6598362231363553,1.7335553218833974,3.93768021221792,5.176492024546704

Spring 2022
etak_id,address,year,pv_area_m2_r,pv_area_m2_e,Mar_kwh/pv_m2_r,Mar_kwh/pv_m2_e,Apr_kwh/pv_m2_r,Apr_kwh/pv_m2_e,May_kwh/pv_m2_r,May_kwh/pv_m2_e
