
Winter 2022
etak_id,address,year,Dec_kwh/pv_m2_r,Dec_kwh/pv_m2_e,Jan_kwh/pv_m2_r,Jan_kwh/pv_m2_e,Feb_kwh/pv_m2_r,Feb_kwh/pv_m2_e
713413,Turu 3,2022,NaN,2.06,0.6008220502901003,3.4,3.304581721470058,8.3
715116,Turu 9,2022,NaN,0.88,0.6262428136624723,1.66,3.527291173486705,5.01
716647,Tähe 2,2022,NaN,1.8125,0.6365975149159939,3.0375,3.9197547758497526,7.6275
716801,Tiigi 8,2022,NaN,1.17,NaN,2.09,NaN,5.81
719155,Tiigi 19,2022,NaN,1.6175000000000002,0.5265549994893299,2.7424999999999997,3.629506689817196,6.995
719414,Pepleri 10,2022,NaN,0.86,NaN,1.62,NaN,4.94
719935,Lutsu 16,2022,NaN,1.26,NaN,2.23,NaN,6.12
720043,Aleksandri 3,2022,NaN,1.0,0.4758267984998215,1.85,3.016160927378109,5.4
720239,Pepleri 12,2022,NaN,0.86,0.4564242882924502,1.62,NaN,4.94
720448,J.Kuperjanovi 2,2022,NaN,1.31,0.3739476266721459,2.3,2.8438613707969926,6.27
720467,Pepleri 3,2022,NaN,0.84,0.3647344721607184,1.6,2.811164319919932,4.9
720592,Kalevi 8,2022,NaN,1.01,0.2681189529292945,1.85,1.8931560515225183,5.41
720593,Tiigi 23,2022,NaN,0.88,0.5580864197530631,1.65,3.239999999999984,4.99
720853,Tiigi 21,2022,NaN,0.88,0.6262958594574425,1.65,2.76745918430694,4.99
721107,Aleksandri 12,2022,NaN,1.0,0.6598362231363553,1.85,3.93768021221792,5.4

Spring 2022
etak_id,address,year,Mar_kwh/pv_m2_r,Mar_kwh/pv_m2_e,Apr_kwh/pv_m2_r,Apr_kwh/pv_m2_e,May_kwh/pv_m2_r,May_kwh/pv_m2_e
713413,Turu 3,2022,15.157761121856849,15.0,20.388237427466144,19.73,23.800350580270788,23.91
715116,Turu 9,2022,15.416029759891748,11.39,20.76286777138988,17.62,24.30990869124113,23.2
716647,Tähe 2,2022,16.707537358366647,14.2975,22.11341616946737,19.36,25.4781323553561,23.88
716801,Tiigi 8,2022,NaN,12.42,NaN,18.09,NaN,23.79
719155,Tiigi 19,2022,17.297160657746897,13.565,22.454601164334584,18.645,25.79608824430599,23.53
719414,Pepleri 10,2022,NaN,11.29,NaN,17.54,NaN,23.13
719935,Lutsu 16,2022,9.801474122736726,12.8,14.116274101372634,18.51,17.701543556054062,24.09
720043,Aleksandri 3,2022,16.056120013637894,11.9,20.42025230139792,18.04,23.87494033412884,23.55
720239,Pepleri 12,2022,14.702800256156488,11.29,20.59963905222096,17.54,24.210339407347035,23.13
720448,J.Kuperjanovi 2,2022,16.243530809358962,12.98,20.098600278911253,18.67,22.55048809462321,24.16
720467,Pepleri 3,2022,12.4499320992066,11.25,18.63798155957406,17.49,22.806375527124555,23.09
720592,Kalevi 8,2022,10.360301537365713,11.89,15.304089748916716,18.03,17.76624918383096,23.52
720593,Tiigi 23,2022,16.085679012345707,11.34,20.802222222222216,17.57,24.2391975308642,23.09
720853,Tiigi 21,2022,13.72301198088025,11.34,19.052206840896368,17.57,22.65199577875723,23.09
721107,Aleksandri 12,2022,18.03429318365305,11.9,22.7099304140556,18.04,25.302179846987837,23.55

Summer 2022
etak_id,address,year,Jun_kwh/pv_m2_r,Jun_kwh/pv_m2_e,Jul_kwh/pv_m2_r,Jul_kwh/pv_m2_e,Aug_kwh/pv_m2_r,Aug_kwh/pv_m2_e
713413,Turu 3,2022,26.832567698259236,22.72,24.79871856866536,22.81,16.33069390715667,19.89
715116,Turu 9,2022,27.6784578965168,23.2,25.81961447412914,22.84,22.624078457896527,18.45
716647,Tähe 2,2022,28.55219223821773,22.9425,26.172259018008678,22.93,23.271662378893208,19.6725
716801,Tiigi 8,2022,NaN,23.48,NaN,23.12,23.87183378078669,18.95
719155,Tiigi 19,2022,28.018690634256,22.7725,26.069349402512483,22.6425,23.794964763558365,19.16
719414,Pepleri 10,2022,NaN,23.16,NaN,22.79,20.202216066482038,18.38
719935,Lutsu 16,2022,19.958019548149327,23.67,18.299524648827653,23.39,15.246274635475071,19.29
720043,Aleksandri 3,2022,27.20579611319475,23.44,25.036617797476957,23.1,21.81636549607907,18.83
720239,Pepleri 12,2022,27.50771380334168,23.16,25.375211038015934,22.79,21.95022413692729,18.38
720448,J.Kuperjanovi 2,2022,24.314859769639952,23.69,22.5484220856361,23.44,20.740199369867227,19.41
720467,Pepleri 3,2022,25.866128225287685,23.14,23.577013794582257,22.77,19.68851404474302,18.35
720592,Kalevi 8,2022,19.295482875289363,23.4,17.4887517065353,23.08,14.756989374962904,18.81
720593,Tiigi 23,2022,27.059567901234576,23.15,24.839753086419712,22.74,21.998395061728424,18.39
720853,Tiigi 21,2022,25.203861195604965,23.15,22.99658575951329,22.74,19.86535477062512,18.39
721107,Aleksandri 12,2022,29.18161547037789,23.44,27.823190188766333,23.1,25.026719464841783,18.83

Autumn 2022
etak_id,address,year,Sep_kwh/pv_m2_r,Sep_kwh/pv_m2_e,Oct_kwh/pv_m2_r,Oct_kwh/pv_m2_e,Nov_kwh/pv_m2_r,Nov_kwh/pv_m2_e
713413,Turu 3,2022,12.010880077369448,14.89,5.524177949709855,8.36,1.0385033849129452,3.02
715116,Turu 9,2022,12.91092323300646,12.12,5.872438282042548,5.83,1.1040243490024382,1.75
716647,Tähe 2,2022,13.589687448683549,14.3575,6.194646669221069,7.847499999999999,NaN,2.7575
716801,Tiigi 8,2022,13.645772538033563,12.88,5.875257772071126,6.47,1.1618614061709118,2.05
719155,Tiigi 19,2022,14.173475640894685,13.7225,6.291390052088632,7.342499999999999,1.2075375344704649,2.52
719414,Pepleri 10,2022,11.700889962869065,12.04,5.230800966582244,5.77,NaN,1.73
719935,Lutsu 16,2022,8.75495380013888,13.22,3.4619986113336663,6.72,0.6197724723601645,2.17
720043,Aleksandri 3,2022,12.910330719399951,12.52,6.104057279236301,6.14,1.1276508694169474,1.9
720239,Pepleri 12,2022,12.53886010362696,12.04,5.657565349013232,5.77,NaN,1.73
720448,J.Kuperjanovi 2,2022,12.772067558493893,13.37,6.041010278394741,6.84,1.1016476421672103,2.22
720467,Pepleri 3,2022,10.561575298406108,11.99,4.450575369880692,5.74,0.8747051676076771,1.71
720592,Kalevi 8,2022,8.203003502107196,12.53,3.609366652816524,6.14,0.713895649076968,1.9
720593,Tiigi 23,2022,13.121049382716054,12.07,6.019814814814765,5.81,1.1097530864198355,1.75
720853,Tiigi 21,2022,11.548327022161525,12.07,5.3316779440064845,5.81,1.0824383884784614,1.75
721107,Aleksandri 12,2022,14.688439506362696,12.52,6.929760485948252,6.14,1.3244396601437851,1.9
