time,source,device_name,fragment.series,value,unit
2021-02-01T08:36:29.417Z,547236018,Päikeseenergia,dal.series,59326.6,kWh
2021-02-01T09:51:28.400Z,547236018,Päikeseenergia,dal.series,59326.7,kWh
2021-02-01T11:11:28.454Z,547236018,Päikeseenergia,dal.series,59326.8,kWh
2021-02-01T11:51:28.484Z,547236018,Päikeseenergia,dal.series,59326.9,kWh
2021-02-04T09:46:30.932Z,547236018,Päikeseenergia,dal.series,59327,kWh
2021-02-04T10:11:30.930Z,547236018,Päikeseenergia,dal.series,59327.1,kWh
2021-02-04T12:01:31.000Z,547236018,Päikeseenergia,dal.series,59327.2,kWh
2021-02-05T09:21:31.715Z,547236018,Päikeseenergia,dal.series,59327.31,kWh
2021-02-05T10:51:31.781Z,547236018,Päikeseenergia,dal.series,59327.4,kWh
2021-02-05T11:21:31.782Z,547236018,Päikeseenergia,dal.series,59327.5,kWh
2021-02-06T09:11:32.513Z,547236018,Päikeseenergia,dal.series,59327.6,kWh
2021-02-06T09:46:32.520Z,547236018,Päikeseenergia,dal.series,59327.7,kWh
2021-02-06T10:46:32.548Z,547236018,Päikeseenergia,dal.series,59327.8,kWh
2021-02-06T11:16:32.580Z,547236018,Päikeseenergia,dal.series,59327.9,kWh
2021-02-08T09:51:34.184Z,547236018,Päikeseenergia,dal.series,59328,kWh
2021-02-08T11:21:34.211Z,547236018,Päikeseenergia,dal.series,59328.1,kWh
2021-02-09T08:13:26.382Z,547236018,Päikeseenergia,dal.series,59328.1,kWh
2021-02-09T10:38:25.527Z,547236018,Päikeseenergia,dal.series,59328.2,kWh
2021-02-10T09:18:26.443Z,547236018,Päikeseenergia,dal.series,59328.3,kWh
2021-02-10T10:08:26.446Z,547236018,Päikeseenergia,dal.series,59328.4,kWh
2021-02-10T11:38:26.567Z,547236018,Päikeseenergia,dal.series,59328.5,kWh
2021-02-10T12:03:26.505Z,547236018,Päikeseenergia,dal.series,59328.6,kWh
2021-02-11T10:13:27.307Z,547236018,Päikeseenergia,dal.series,59328.7,kWh
2021-02-11T10:33:27.309Z,547236018,Päikeseenergia,dal.series,59328.8,kWh
2021-02-11T11:48:27.356Z,547236018,Päikeseenergia,dal.series,59328.91,kWh
2021-02-11T12:11:45.628Z,547236018,Päikeseenergia,dal.series,59328.91,kWh
2021-02-11T12:16:44.702Z,547236018,Päikeseenergia,dal.series,59329,kWh
