etak_id,roof_id,azimuth,orientation,annual_kwh,monthly_average_kwh,y-y_variation,Jan_kwh,Feb_kwh,Mar_kwh,Apr_kwh,May_kwh,Jun_kwh,Jul_kwh,Aug_kwh,Sep_kwh,Oct_kwh,Nov_kwh,Dec_kwh
713413,26251,53.32541226511941,none,50195.38,4182.95,2669.78,1044.37,2542.44,4589.11,6034.93,7308.1,6945.55,6973.88,6081.51,4553.21,2562.35,929.19,630.75
715116,21107,58.59458364709806,west,46198.8,3849.9,1965.64,534.77,1616.54,3661.64,5653.24,7436.25,7433.21,7320.28,5919.1,3894.95,1877.59,566.46,284.77
716647,122,31.45168399771859,south,35317.96,2943.16,1565.44,464.03,1326.58,2874.83,4300.06,5602.36,5558.42,5483.38,4482.39,3009.55,1493.22,469.31,253.84
716801,28606,-36.57561170172002,south,72413.57,6034.46,3249.48,1014.19,2808.72,5990.34,8715.67,11450.78,11294.99,11123.45,9125.4,6208.16,3121.94,993.33,566.6
719155,73472,57.669324357977274,none,8514.96,709.58,452.8,177.38,431.47,778.43,1023.68,1239.46,1177.93,1182.77,1031.51,772.33,434.91,158.08,107.0
719155,73474,-126.3474582472603,none,9721.88,810.16,516.98,202.53,492.63,888.77,1168.77,1415.14,1344.9,1350.42,1177.72,881.81,496.55,180.49,122.16
719155,73473,-78.28343806804656,east,33204.66,2767.05,1293.91,315.76,1019.95,2556.43,4001.86,5512.88,5565.55,5427.51,4292.08,2740.74,1260.62,353.66,157.63
719155,73476,-125.9878402124045,east,953.2,79.43,28.77,5.84,19.48,63.22,110.25,167.69,178.32,169.36,125.66,72.92,30.16,7.45,2.84
719414,59942,61.16104856923789,west,70262.82,5855.24,2955.21,793.98,2415.68,5535.66,8596.01,11346.62,11368.28,11184.11,9018.36,5905.34,2832.74,850.04,416.01
719935,23825,-14.893083018549191,south,44590.83,3715.9,2053.76,634.9,1779.0,3728.0,5386.7,7002.86,6879.82,6798.21,5610.62,3847.92,1956.34,621.48,344.99
720043,34938,46.22256408139964,west,48824.14,4068.68,2132.35,610.38,1786.76,3935.29,5962.75,7783.95,7747.22,7636.25,6224.28,4144.39,2032.66,628.18,332.04
720239,21871,61.050315082707186,west,70089.63,5840.8,2948.28,792.14,2409.92,5522.41,8574.78,11317.91,11340.42,11156.03,8996.24,5890.92,2825.83,847.97,415.07
720448,47622,-9.726343159873522,south,62817.21,5234.77,2907.8,939.73,2550.85,5272.75,7582.91,9808.71,9617.58,9514.3,7879.5,5428.2,2782.66,908.05,531.96
720467,72262,61.62075691826405,west,41217.09,3434.76,1732.17,464.72,1415.39,3245.52,5043.09,6657.68,6670.88,6563.21,5291.03,3463.32,1660.85,498.07,243.33
720565,45982,53.48091104268613,west,41477.68,3456.47,1772.75,491.7,1465.89,3301.26,5068.78,6660.1,6656.1,6551.17,5308.4,3500.07,1696.27,516.61,261.33
720592,14176,47.831360790456216,west,53823.41,4485.28,2347.32,675.44,1967.64,4333.69,6573.26,8580.53,8540.05,8420.14,6861.23,4568.21,2242.71,695.79,364.75
720593,49589,61.917004715209515,west,41204.02,3433.67,1748.23,474.66,1433.52,3255.88,5043.24,6632.26,6651.26,6534.34,5281.31,3468.6,1673.3,505.55,250.09
720853,62040,61.69068975255928,west,40558.33,3379.86,1723.45,469.17,1414.54,3207.42,4964.32,6524.81,6541.8,6427.44,5197.19,3415.79,1649.37,498.99,247.48
721071,8414,-36.729840354297664,south,10241.06,853.42,482.02,163.11,429.5,871.08,1225.71,1588.34,1552.34,1534.55,1275.75,890.65,462.45,153.54,94.04
721071,8415,53.577615977493224,west,39519.39,3293.28,1813.04,560.55,1556.77,3254.44,4842.3,6181.53,6089.65,6037.27,4997.93,3402.6,1725.64,558.24,312.46
721107,52666,46.08853915548349,west,73591.55,6132.63,3218.59,921.09,2694.87,5934.2,8988.12,11730.93,11673.86,11507.38,9380.88,6247.59,3064.97,945.87,501.78
